Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2017-11-27,,17-18,Sp Braga,Feirense,3.0,1.0,H,0.7728643,0.15535897,0.07177674
2017-12-01,,17-18,Porto,Benfica,0.0,0.0,D,0.44964093,0.33242196,0.21793711
2017-12-01,,17-18,Sp Lisbon,Belenenses,1.0,0.0,H,0.8489722,0.09586792,0.055159815
2017-12-02,,17-18,Chaves,Boavista,0.0,0.0,D,0.3667052,0.29110444,0.34219033
2017-12-02,,17-18,Moreirense,Maritimo,1.0,1.0,D,0.34936938,0.2422853,0.40834537
2017-12-02,,17-18,Tondela,Rio Ave,0.0,1.0,A,0.3641238,0.24377602,0.39210021
2017-12-03,,17-18,Feirense,Aves,0.0,0.0,A,0.41314763,0.2747974,0.312055
2017-12-03,,17-18,Setubal,Guimaraes,0.0,1.0,A,0.3755199,0.24584198,0.3786381
2017-12-03,,17-18,Sp Braga,Pacos Ferreira,0.0,0.0,H,0.8121707,0.1204543,0.06737499
2017-12-04,,17-18,Estoril,Portimonense,0.0,0.0,D,0.33066034,0.25885218,0.41048753
2017-12-08,,17-18,Rio Ave,Moreirense,0.0,0.0,H,0.5194946,0.28537008,0.19513534
2017-12-09,,17-18,Aves,Tondela,0.0,0.0,A,0.30479985,0.23184714,0.46335304
2017-12-09,,17-18,Benfica,Estoril,2.0,1.0,H,0.8405518,0.10613663,0.053311534
2017-12-09,,17-18,Boavista,Sp Lisbon,0.0,1.0,A,0.123009205,0.16447952,0.7125113
2017-12-10,,17-18,Belenenses,Pacos Ferreira,0.0,1.0,D,0.45932552,0.2942978,0.24637662
2017-12-10,,17-18,Portimonense,Chaves,0.0,0.0,A,0.33218294,0.2873059,0.38051113
2017-12-10,,17-18,Setubal,Porto,0.0,3.0,A,0.10831415,0.16740407,0.7242817
2017-12-11,,17-18,Guimaraes,Feirense,0.0,0.0,H,0.5523189,0.2264228,0.2212583
2017-12-11,,17-18,Maritimo,Sp Braga,0.0,0.0,H,0.37324452,0.2502694,0.37648603
2017-12-15,,17-18,Pacos Ferreira,Boavista,1.0,0.0,A,0.41707766,0.2769228,0.30599958
2017-12-16,,17-18,Estoril,Aves,1.0,1.0,H,0.4090172,0.2778699,0.3131129
2017-12-16,,17-18,Sp Braga,Belenenses,1.0,0.0,H,0.7345824,0.1213592,0.14405839
2017-12-17,,17-18,Chaves,Rio Ave,0.0,1.0,D,0.35823852,0.27701613,0.36474535
2017-12-17,,17-18,Feirense,Setubal,1.0,0.0,H,0.52457726,0.24180439,0.23361835
2017-12-17,,17-18,Sp Lisbon,Portimonense,1.0,0.0,H,0.8489722,0.09586792,0.055159815
2017-12-17,,17-18,Tondela,Benfica,0.0,3.0,A,0.0946949,0.13887268,0.7664324
2017-12-18,,17-18,Moreirense,Guimaraes,2.0,0.0,H,0.44248375,0.24070102,0.31681523
2017-12-18,,17-18,Porto,Maritimo,2.0,1.0,H,0.7645189,0.12439415,0.11108691
2017-12-23,,17-18,Guimaraes,Tondela,0.0,0.0,A,0.47431767,0.2598233,0.26585907
2018-01-03,,17-18,Aves,Moreirense,0.0,2.0,A,0.36923283,0.23266293,0.39810422
2018-01-03,,17-18,Benfica,Sp Lisbon,0.0,1.0,D,0.39916533,0.26949152,0.3313431
2018-01-03,,17-18,Boavista,Sp Braga,0.0,1.0,A,0.1459457,0.17756853,0.6764858
2018-01-03,,17-18,Feirense,Porto,1.0,1.0,A,0.11294332,0.16114415,0.7259125
2018-01-03,,17-18,Maritimo,Chaves,0.0,1.0,A,0.44958478,0.3015745,0.24884069
2018-01-03,,17-18,Rio Ave,Pacos Ferreira,1.0,0.0,H,0.560895,0.22485074,0.21425425
2018-01-04,,17-18,Portimonense,Belenenses,0.0,0.0,D,0.40609828,0.32884818,0.2650536
2018-01-04,,17-18,Setubal,Estoril,0.0,0.0,D,0.4631577,0.25237772,0.28446457
2018-01-06,,17-18,Sp Braga,Rio Ave,1.0,1.0,H,0.5664621,0.24314792,0.19038998
2018-01-07,,17-18,Chaves,Aves,0.0,1.0,D,0.43195072,0.35039702,0.21765226
2018-01-07,,17-18,Moreirense,Benfica,0.0,1.0,A,0.116342194,0.15794699,0.72571087
2018-01-07,,17-18,Porto,Guimaraes,0.0,1.0,H,0.8517894,0.09618604,0.052024502
2018-01-07,,17-18,Sp Lisbon,Maritimo,1.0,0.0,H,0.8155825,0.10180014,0.0826173
2018-01-08,,17-18,Estoril,Feirense,0.0,1.0,A,0.41133633,0.29260948,0.29605415
2018-01-08,,17-18,Pacos Ferreira,Portimonense,0.0,0.0,D,0.420613,0.3162189,0.26316807
2018-01-09,,17-18,Belenenses,Boavista,1.0,0.0,D,0.41152194,0.29975668,0.28872138
2018-01-09,,17-18,Tondela,Setubal,1.0,1.0,D,0.4494121,0.27812973,0.27245817
2018-01-12,,17-18,Chaves,Guimaraes,3.0,3.0,H,0.40399116,0.3110759,0.28493294
2018-01-13,,17-18,Pacos Ferreira,Maritimo,0.0,0.0,D,0.42847723,0.2664821,0.3050407
2018-01-13,,17-18,Sp Braga,Benfica,0.0,1.0,A,0.35426384,0.22419737,0.4215388
2018-01-14,,17-18,Belenenses,Rio Ave,0.0,1.0,A,0.347786,0.2750542,0.37715977
2018-01-14,,17-18,Boavista,Portimonense,2.0,0.0,H,0.41155303,0.29772046,0.29072648
2018-01-14,,17-18,Sp Lisbon,Aves,1.0,0.0,H,0.85749686,0.09013006,0.052373096
2018-01-14,,17-18,Tondela,Feirense,0.0,0.0,H,0.4145041,0.29064885,0.2948471
2018-01-15,,17-18,Moreirense,Setubal,1.0,2.0,D,0.42329022,0.27839103,0.29831874
2018-01-19,,17-18,Porto,Tondela,1.0,0.0,H,0.85749686,0.09013006,0.052373096
2018-01-19,,17-18,Setubal,Sp Lisbon,0.0,1.0,D,0.11578945,0.16600068,0.71820986
2018-01-20,,17-18,Benfica,Chaves,2.0,0.0,H,0.8418585,0.102074735,0.056066725
2018-01-20,,17-18,Maritimo,Belenenses,0.0,0.0,D,0.4649123,0.29258,0.24250765
2018-01-20,,17-18,Portimonense,Sp Braga,0.0,2.0,A,0.19390975,0.25383738,0.5522529
2018-01-21,,17-18,Aves,Pacos Ferreira,0.0,1.0,A,0.38748515,0.21007815,0.4024367
2018-01-21,,17-18,Feirense,Moreirense,1.0,0.0,H,0.456663,0.27761552,0.26572144
2018-01-21,,17-18,Guimaraes,Estoril,1.0,1.0,H,0.6483377,0.19701724,0.15464501
2018-01-21,,17-18,Rio Ave,Boavista,1.0,0.0,H,0.50257504,0.26035577,0.2370692
2018-01-29,,17-18,Belenenses,Benfica,0.0,0.0,D,0.12176414,0.16530786,0.712928
2018-01-29,,17-18,Pacos Ferreira,Feirense,1.0,1.0,H,0.42569476,0.29870415,0.27560115
2018-01-29,,17-18,Portimonense,Rio Ave,3.0,0.0,H,0.32429725,0.311603,0.36409977
2018-01-30,,17-18,Estoril,Tondela,2.0,0.0,H,0.3614209,0.269655,0.3689241
2018-01-30,,17-18,Moreirense,Porto,0.0,0.0,D,0.11691772,0.15378146,0.72930086
2018-01-30,,17-18,Sp Braga,Aves,1.0,0.0,H,0.8162383,0.12232093,0.06144077
2018-01-31,,17-18,Boavista,Maritimo,1.0,1.0,H,0.43462732,0.2583462,0.30702645
2018-01-31,,17-18,Chaves,Setubal,1.0,1.0,D,0.40788275,0.32854503,0.2635722
2018-01-31,,17-18,Sp Lisbon,Guimaraes,0.0,0.0,H,0.85749686,0.09013006,0.052373096
2018-02-03,,17-18,Benfica,Rio Ave,0.0,1.0,H,0.7776232,0.114158586,0.1082182
2018-02-03,,17-18,Porto,Sp Braga,2.0,1.0,H,0.67822284,0.17989963,0.14187755
